what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1508250096556
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1508250096557
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1508250096557
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1508250096557
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1508250096558
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1508250096558
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1508250096558
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1508250096559
os,sysinfo,,,"linux",1508250096561
arch,sysinfo,,,"x86_64",1508250096561
ws,sysinfo,,,"gtk",1508250096561
locale,sysinfo,,,"fr_FR",1508250096561
processors,sysinfo,,,"4",1508250096561
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1508250096561
java.runtime.version,sysinfo,,,"1.6.0_41-b41",1508250096561
java.specification.name,sysinfo,,,"Java Platform API Specification",1508250096561
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1508250096561
java.specification.version,sysinfo,,,"1.6",1508250096561
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1508250096561
java.version,sysinfo,,,"1.6.0_41",1508250096561
java.vm.info,sysinfo,,,"mixed mode",1508250096561
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1508250096561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1508250096561
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1508250096561
java.vm.specification.version,sysinfo,,,"1.0",1508250096561
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1508250096561
java.vm.version,sysinfo,,,"23.41-b41",1508250096561
started,bundle,com.google.gdt.eclipse.designer.hosted,2.3.2.r36x201106161421,"com.google.gdt.eclipse.designer.hosted",1508250096629
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1508250096672
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.2.r36x201106201351,"com.google.gdt.eclipse.designer.UiBinder",1508250096803
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1508250096824
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1508250096924
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1508250097148
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1508250097223
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1508250097442
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1508250099261
started,bundle,com.google.gdt.eclipse.suite,2.3.2.r36v201106211634,"com.google.gdt.eclipse.suite",1508250099817
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1508250099917
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1508250099985
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1508250100098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508250101686
