what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223752259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223782611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223793483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223807709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223837168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223874997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223883902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223940084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223961957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505223976144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224005263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224005946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224006223
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224007349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1505224160536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224207692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224216743
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1505224293173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1505224296419
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224307816
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1505224313931
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224320231
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224320343
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1505224320358
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224324184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1505224325942
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224327678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1505224329454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1505224342907
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1505224353436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224358788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224369284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224372360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224382306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224395869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224433966
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224436342
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224440981
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224441075
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224441949
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224442039
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224442572
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224442672
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224443755
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224445134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1505224485888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1505224487704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1505224507808
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1505224520319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1505224522268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224523812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224523955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224529566
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224530641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224531068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1505224550174
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224553033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1505224556007
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1505224564092
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1505224566704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1505224569342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1505224574484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1505224580209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1505224580367
