what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1508249753905
java.specification.version,sysinfo,,,"1.6",1508249753905
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1508249753905
java.version,sysinfo,,,"1.6.0_41",1508249753905
java.vm.info,sysinfo,,,"mixed mode",1508249753905
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1508249753905
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1508249753905
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1508249753905
java.vm.specification.version,sysinfo,,,"1.0",1508249753905
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1508249753905
java.vm.version,sysinfo,,,"23.41-b41",1508249753905
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1508249754425
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1508249754525
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1508249754687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249755927
started,bundle,com.google.gdt.eclipse.suite,2.3.2.r36v201106211634,"com.google.gdt.eclipse.suite",1508249757813
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1508249757992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249770040
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249770097
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1508249771747
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1508249771952
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1508249772011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249773284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249788689
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249790680
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249790793
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249791988
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249792114
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249793256
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249793348
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249794497
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249794638
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1508249795664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1508249799170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1508249801431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249802648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249806595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508249825554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249829167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249841465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508249853608
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508249857094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508249859436
